date,user_id,category,merchant,amount_inr,payment_method,is_recurring,recurring_code
01-01-2019,1001,Groceries,DMart,737.17,UPI,FALSE,
01-01-2019,1001,Education,Udemy,293.19,UPI,FALSE,
01-01-2019,1001,Groceries,DMart,348.53,UPI,FALSE,
01-01-2019,1001,Rent,ApartmentMgmt,11876.12,Credit Card,TRUE,RENT
02-01-2019,1001,Transport,Metro,203.84,UPI,FALSE,
03-01-2019,1001,Rent,Landlord-RTGS,18840.02,Bank Transfer,TRUE,RENT
03-01-2019,1001,Rent,ApartmentMgmt,17138.57,Cash,TRUE,RENT
03-01-2019,1001,Subscriptions,YouTubePremium,174.89,UPI,TRUE,SUBS
03-01-2019,1001,Insurance,LIC,2324.7,Debit Card,TRUE,INS
03-01-2019,1001,Groceries,LocalKirana,236.16,UPI,FALSE,
04-01-2019,1001,Miscellaneous,Flipkart,67.33,UPI,FALSE,
04-01-2019,1001,Transport,Metro,137.38,UPI,FALSE,
05-01-2019,1001,Transport,FuelStation,145.17,Credit Card,FALSE,
06-01-2019,1001,Groceries,BigBazaar,443.92,UPI,FALSE,
06-01-2019,1001,Rent,ApartmentMgmt,16765.35,UPI,TRUE,RENT
06-01-2019,1001,Education,Udemy,267.04,UPI,FALSE,
06-01-2019,1001,Groceries,RelianceFresh,687.37,NetBanking,FALSE,
06-01-2019,1001,Entertainment,BookMyShow,136.83,UPI,FALSE,
07-01-2019,1001,Education,Coursera,155.26,Credit Card,FALSE,
07-01-2019,1001,Utilities,Broadband ISP,371.93,UPI,FALSE,
07-01-2019,1001,Rent,ApartmentMgmt,21348.7,Credit Card,TRUE,RENT
07-01-2019,1001,Dining,Dominos,147.5,Credit Card,FALSE,
08-01-2019,1001,Education,SkillShare,262.37,NetBanking,FALSE,
08-01-2019,1001,Subscriptions,YouTubePremium,314.48,UPI,TRUE,SUBS
09-01-2019,1001,Groceries,BigBazaar,511.19,UPI,FALSE,
09-01-2019,1001,Groceries,LocalKirana,380.92,UPI,FALSE,
10-01-2019,1001,Dining,Dominos,88.99,Credit Card,FALSE,
11-01-2019,1001,Groceries,LocalKirana,506.24,UPI,FALSE,
12-01-2019,1001,Insurance,LIC,2631.77,UPI,TRUE,INS
12-01-2019,1001,Miscellaneous,StationeryStore,50,Credit Card,FALSE,
12-01-2019,1001,Dining,Swiggy,198.13,Credit Card,FALSE,
12-01-2019,1001,Entertainment,BookMyShow,170.05,UPI,FALSE,
12-01-2019,1001,Insurance,HDFCLife,1815.57,Debit Card,TRUE,INS
13-01-2019,1001,Dining,Dominos,281.03,NetBanking,FALSE,
13-01-2019,1001,Transport,Metro,165.42,UPI,FALSE,
13-01-2019,1001,Healthcare,ApolloPharmacy,140.11,Credit Card,FALSE,
13-01-2019,1001,Transport,Metro,88.25,Credit Card,FALSE,
13-01-2019,1001,Education,LocalTutors,195.43,Credit Card,FALSE,
14-01-2019,1001,Groceries,RelianceFresh,191.55,Credit Card,FALSE,
14-01-2019,1001,Subscriptions,YouTubePremium,339.84,NetBanking,TRUE,SUBS
14-01-2019,1001,Travel,AirIndia,566.93,NetBanking,FALSE,
15-01-2019,1001,Groceries,RelianceFresh,493.75,Cash,FALSE,
16-01-2019,1001,Entertainment,PlayStore,160.9,Credit Card,FALSE,
17-01-2019,1001,Travel,IndiGo,773.87,Credit Card,FALSE,
18-01-2019,1001,Subscriptions,Spotify,115.56,Credit Card,TRUE,SUBS
18-01-2019,1001,Subscriptions,Spotify,49,Credit Card,TRUE,SUBS
18-01-2019,1001,Subscriptions,PrimeVideo,101.83,Credit Card,TRUE,SUBS
18-01-2019,1001,Subscriptions,iCloud,440.79,Credit Card,TRUE,SUBS
18-01-2019,1001,Subscriptions,Netflix,76.2,Credit Card,TRUE,SUBS
18-01-2019,1001,Dining,Dominos,93.89,Credit Card,FALSE,
19-01-2019,1001,Miscellaneous,Flipkart,79.39,Cash,FALSE,
19-01-2019,1001,Miscellaneous,Amazon,76.5,Credit Card,FALSE,
20-01-2019,1001,Groceries,BigBazaar,585.57,UPI,FALSE,
20-01-2019,1001,Groceries,DMart,580.11,NetBanking,FALSE,
21-01-2019,1001,Groceries,RelianceFresh,468.5,Cash,FALSE,
22-01-2019,1001,Miscellaneous,StationeryStore,108.59,Credit Card,FALSE,
23-01-2019,1001,Utilities,Broadband ISP,703.61,NetBanking,FALSE,
23-01-2019,1001,Dining,Zomato,338.06,UPI,FALSE,
24-01-2019,1001,Miscellaneous,StationeryStore,80.74,UPI,FALSE,
25-01-2019,1001,Dining,Dominos,211.24,Debit Card,FALSE,
26-01-2019,1001,Utilities,GasCompany,387.76,UPI,FALSE,
26-01-2019,1001,Dining,Dominos,153.23,Credit Card,FALSE,
27-01-2019,1001,Groceries,LocalKirana,574.6,Cash,FALSE,
27-01-2019,1001,Dining,CafeCoffeeDay,304.63,UPI,FALSE,
27-01-2019,1001,Groceries,BigBazaar,338.19,UPI,FALSE,
28-01-2019,1001,Entertainment,BookMyShow,129.39,UPI,FALSE,
29-01-2019,1001,Insurance,LIC,2797.26,Credit Card,TRUE,INS
29-01-2019,1001,Dining,Dominos,147.02,UPI,FALSE,
30-01-2019,1001,Travel,MakeMyTrip,1377.99,UPI,FALSE,
31-01-2019,1001,Groceries,LocalKirana,578.12,UPI,FALSE,
01-02-2019,1001,Healthcare,Thyrocare,305.28,UPI,FALSE,
01-02-2019,1001,Rent,Landlord-RTGS,18303.81,Credit Card,TRUE,RENT
02-02-2019,1001,Healthcare,ApolloPharmacy,320.65,NetBanking,FALSE,
03-02-2019,1001,Rent,Landlord-RTGS,18290.54,Bank Transfer,TRUE,RENT
03-02-2019,1001,Subscriptions,Netflix,269.03,Cash,TRUE,SUBS
03-02-2019,1001,Miscellaneous,GiftShop,113.12,UPI,FALSE,
03-02-2019,1001,Groceries,DMart,365.04,Credit Card,FALSE,
03-02-2019,1001,Groceries,LocalKirana,418.9,UPI,FALSE,
04-02-2019,1001,Dining,CafeCoffeeDay,131.69,NetBanking,FALSE,
04-02-2019,1001,Travel,OYO,1112.66,Cash,FALSE,
05-02-2019,1001,Dining,Zomato,170.35,Debit Card,FALSE,
05-02-2019,1001,Transport,Ola,148.74,Credit Card,FALSE,
06-02-2019,1001,Utilities,Broadband ISP,515.2,Debit Card,FALSE,
06-02-2019,1001,Transport,Metro,50,UPI,FALSE,
07-02-2019,1001,Miscellaneous,GiftShop,64.98,Cash,FALSE,
08-02-2019,1001,Transport,Metro,179.77,UPI,FALSE,
08-02-2019,1001,Miscellaneous,Amazon,67.11,Credit Card,FALSE,
