Model,MAE,RMSE,MAPE (%),Category
Regression,0.0,0.0,0.0,Rent
LSTM,1235.55,1672.15,5.34,Rent
ARIMA,1213.56,1838.23,5.34,Rent
Prophet,1830.9,2176.62,7.68,Rent
Regression,0.0,0.0,0.0,Groceries
ARIMA,410.94,610.81,3.01,Groceries
LSTM,538.51,797.63,3.94,Groceries
Prophet,832.63,1033.78,6.15,Groceries
Regression,0.0,0.0,0.0,Dining
Prophet,136.98,183.77,2.66,Dining
LSTM,294.48,348.11,5.46,Dining
ARIMA,364.72,426.3,6.76,Dining
Regression,0.0,0.0,0.0,Utilities
Prophet,344.89,493.65,7.95,Utilities
LSTM,381.61,509.9,8.76,Utilities
ARIMA,371.05,602.54,8.88,Utilities
Regression,0.0,0.0,0.0,Travel
Prophet,281.36,325.0,6.0,Travel
ARIMA,264.83,368.1,5.44,Travel
LSTM,406.19,446.36,8.7,Travel
Regression,0.0,0.0,0.0,Transport
Prophet,199.17,220.83,6.16,Transport
LSTM,231.92,248.71,7.15,Transport
ARIMA,241.89,270.32,7.51,Transport
Regression,0.0,0.0,0.0,Insurance
Prophet,150.62,168.61,4.49,Insurance
ARIMA,187.7,205.05,5.62,Insurance
LSTM,237.62,265.71,7.15,Insurance
Regression,0.0,0.0,0.0,Entertainment
Prophet,172.34,222.84,5.55,Entertainment
ARIMA,282.82,360.88,8.93,Entertainment
LSTM,317.76,375.2,10.3,Entertainment
